id,title,genre,plot
49427,"""Zoltan, the WolfMan"" (2015)",Adventure,"Zoltan the Wolf Man is a new reality adventure documentary series about Zoltan Horkai premiering on Discovery Channel and Animal Planet that lets viewers get up close and personal with some of the most dangerous animals in show business. Zoltan is a wild animal specialist working as an animal trainer and coordinator for the film and television industry. His farm is the home for more than 100 animals including several packs of wolves, 3 bears, dozens of wild boars and deers and many other animals. Zoltan is the founder and head of the Horkai Animal Training Centre near Budapest, Hungary. He is also the go-to wild animal trainer for movie directors from all over the world. He is famous around the world for his training concept called 'Natural Motivation'. He has done animal casting and training for European and Asian films and commercials, as well as for Hollywood blockbusters. Zoltan the Wolf Man will give us an insight into Zoltan's work in the international film industry and also into the adventures he experiences day-by-day whilst living with more than a hundred wild animals. The up close footage of Zoltan and his animals will bring audiences closer to these predators more than ever. Mixing reality elements of everyday life on the farm, nature cinematography of the animals in their natural habitat, adventures of training on movie sets with Zoltan and his co-workers creates an entertaining reality documentary series on living and working with predators."
16372,2059 Chronicles of a Legend (2018),Sci-Fi,"In 2059 the world has all but destroyed itself and mankind. Politicians pushed climate change as the world's worst enemy, but they were wrong. A Special agent, geneticist and a Viper-J4X with a computer that is almost human are caught in a deadly game with the government."
19352,Hit n' Run (2012),Short,"A boxer is told that he has to through the fight in the third round by his sister, but he refuses. He runs for his life, but is slowed down, and captured. His sister tortures him until explains his actions. He is left to suffer and dream of a life before his family became the epitome of darkness."
13962,Megadeth Blood in the Water: Live in San Diego (2009),Music,"Pioneers of the American thrash metal genre, Megadeth has become one of the most commercially successful heavy metal bands of all time. They perform to a raucous hometown crowd at the Cox Arena in San Diego, California on the 2008 Gigantour tour. Dave Mustaine and Megadeth push the limit, playing faster and heavier than ever in the ultimate Megadeth experience."
7850,Gunnar Hedes saga (1923),Drama,"Gunnar Hede, a young Swedish man, wants to become a professional musician, but when his father suddenly dies he is pressured by his family to take over the family business, raising and selling reindeer. He doesn't like the business and isn't suited for it, but he gives in and takes over. However, when he is badly injured one day in an accident while driving the herd over the frozen Arctic and sustains some serious head trauma, his family fears that he may be permanently mentally damaged and they may lose both Gunnar and the family business."
17897,Night Eyes (2014),Thriller,"When Linda tries to escape her abusive relationship, she discovers unexpected resources that she could never have imagined... Professional illustrator Linda Raines has been feeling off kilter since her break-up. Her ex-boyfriend Michael, a respected psychotherapist and author, has just been cleared of accusations of murdering his ex-wife, leaving Linda unsure of what to believe. As she is recovering she begins to hear voices and experience visions, only furthering her anxiety and confusion. Her boss Paul urges her to escape the city and stay at his secluded vacation house while she recovers. Once there Linda's struggle with reality intensifies, and the intensity of her visions force her to question everything she sees and hears. Yet one voice is so real that it's becoming too loud to ignore... Linda is losing her grip. If she can not learn to trust her Night Eyes, her past may catch up and destroy her mind, body, and spirit."
8902,Fangs of Fate (1925),Western,"Bob Haynes, the unknown leader of an outlaw gang, has been offered the job of Deputy. When his men commit murder and robbery against his orders, he takes the job and brings them in. He then confesses he was one of them and the Sheriff is forced to arrest him leaving his fate up to the Judge."
31823,Knight Rider 2010 (1994),Sci-Fi,"Loosely based on the popular television series of the 80's, this movie is about a young loner on a crusade. Because of his circumstance, he creates a special car out of an old Fold Mustang. The ""interface"" on the car allows the spirit of a young girl to reside in the car and help him."
37741,"""American Race"" (2017)",Reality-Tv,"At the end of his journey Charles heads to Atlanta where he meets undocumented residents and civic leaders who use social media to organize their opposition to new immigration policies, and gets an audience with civil rights legend C.T. Vivian."
48926,Carly Simon: Live at Grand Central (1995),Music,"As a prelude to her first concert tour in 14 years, the singer and songwriter Carly Simon and her band performed live at New York City's famed Grand Central Terminal. Carly's surprise concert made riders forget their scheduled trains and find themselves captivated by the show. Simon sings some of her greatest hits like ""Jesse"" and ""Anticipation""."
13667,Venus (2016),Documentary,"Two female directors in their thirties, start an investigation based on their own sexual frustrations to understand desire from a female point of view. As an excuse to get more answers, they decide to make a film based on real women's erotic memories and reflections. They send out a casting call and over 100 ordinary Copenhagen women reply. As the shootings progress it dawns on the Filmmakers that what was just meant to be a casting, instead becomes an overwhelming shared experience of intimacy. The casting couch is turned into an exploration space for the young women to share their true desires, fantasies and reflections on their experiences with sex, shame, lust and pleasure. The film gives a rare look into the secret language of young female sexuality."
26152,The Vita 4 Healthy Lifestyle for Kids (2005),Animation,"The Vita 4sm is a Rock N'Roll Band made up of fruits and vegetables. The Vita 4sm, Pepper, CJ, Eggy Plant, and Broc, want your kids to be healthy, strong and active! Through colorful, lively entertainment and jamm'n tunes, the Vita 4sm will get your kids up, out and moving. The Vita 4sm Healthy Lifestyle for Kids Program is designed to educate children and families on the importance of a healthy lifestyle, which is essential in obtaining optimal health. The goal is to help combat our nation's obesity epidemic in children."
28085,Cloudtank (2009),Short,"Cloudtank In the course of its history, filmmaking has exploited a variety of tricks and constructions to mimic reality. Achieving a realistic simulation of elementary natural forces has always been of pivotal importance, and is something that presents a particular challenge. The typical objective of special effects is to imitate reality as closely as possible in order to support or supplement a narrative. Cloudtank neither wants to tell a story, nor does it even want to try and make us believe that what we are seeing is real. Using a special effect that simulates clouds, the film presents the cloud as idea. What we see allows us to enter into our own private visual world, to create our own story. Cloudtank is a short film about the emergence and dissolution of illusion. It is a film that uses clouds to call up real and imagined images out of memory, allowing us to submit to the pleasure of illusion. When do we believe what we see, and when do we want to believe what we see."
32953,"""Pillow Talk Show"" (2017)",Talk-Show,"Pillow Talk Show is an unscripted 3-camera sports and entertainment talk show. Where is history rewritten? Where do our most intimate secrets get shared? Where do our bonds form? It's during pillow talk. We all want to know the latest trade rumors, inside information, and gossip within the sports world. Our host, sports broadcaster Max Berkowitz takes the sports interview show and gets...intimate. Sports industry experts, celebrities, writers, athletes, and fans, will all hop in bed with Max to dish all things sports."
22321,Whirlwind (1951),Western,"Postal Inspector Gene Autry ('Gene Autry (I)' (qv))and Smiley Burnette ('Smiley Burnette' (qv))arrive in Red Bluff to investigate a series of mail robberies. Gene becomes suspicious of Big Jim Lattimer ('Thurston Hall' (qv)), uncle of Elaine Lassiter ('Gail Davis (I)' (qv)) after Smiley finds burned fragments of U.S. Postal Bonds, following a bank holdup, on the Lassiter ranch. A string of mail robberies bring Gene and Smiley to Red Valley, an area controlled by Jim Lassiter. Gene knows Lassiter is the head of the outlaw gangs working in Red Valley but needs proof. He offers to buy some of Lassiter's land and Lassiter demands cash. Gene brings the money knowing Lassiter will try and get it but things change when two of Lassiter's henchmen, knowing their cut will be small, take the money for themselves and flee."
14945,Condor (1985),Sci-Fi,"In futuristic Los Angeles, a crime-fighting organization known as Condor goes up against the Black Widow, a female master criminal. The Black Widow steals the national security code and threatens to blow up Hollywood unless her old enemy, Proctor, a Condor operative, is turned over to her."
34128,Dota 2 (2013),Fantasy,"When the world was still cooling, a crystalline satellite entered the planet's orbit and became a permanent feature. Existing through the early stages of civilization, this object was actually the virtual prison for the raw energies of the Radiant and Dire, vying for control within the confines of the ""Mad Moon"". Eventually, their struggle became so extreme that the moon was blasted apart, with shards falling all across the world. The energies of the Radiant and Dire attracted creatures of different alignments and unified under these factions, the battles of Dota would commence."
29247,Grampa Presents (1988),Horror,"The movies reported to have been released or due to be released included: Alice Sweet Alice, Battle of the Worlds, Bride of the Gorilla, Carnival of Souls, Climax / Dr. Jekyll & Mr. Hyde, Corpse Vanishes, Creature from the Haunted Sea, Death Race 2000, Dementia 13, Devil Bat, First Spaceship on Venus, Frankenstein's Daughter, Ghosts on the Loose, Giant from the Unknown, Godzilla Vs. Megalon, Horror Hotel, Human Monster, Immediate Disaster (aka Stranger from Venue), Indestructible Man, Invisible Ghost, Killers from Space, Little Shop of Horrors, Mars Attacks the World, Mesa of Lost Women, Missile to the Moon, Monster from Green Hell, Night of the Living Dead, Nightmare Castle, Nosferatu, Phantom from Space, Phantom of the Opera, Radar Men from the Moon (Part I), Radar Men from the Moon, (Part II), Satan's Satellites (aka Zombies of the Stratosphere), Scared to Death, She Demons, Snow Creature, Spider Baby, Spooks Run Wild, The Ape, The Ape Man, The Crawling Eye, The Death Kiss, The House of Exorcism, The Incredible Two-Headed Transplant, The Island Monster, The Last Woman on Earth, The Living Head, The Phantom Creeps, The Robot Vs. The Aztec Mummy, The Terror, Vampire Bat, Vampyr, White Zombie, Who Killed Doc Robin, Wild Women of Wongo, Witches Curse, Wrestling Women Vs. The Aztec Mummy, Yog Monster from Space (aka Space Amoeba)."
24876,"""Ceelo Green's the Good Life"" (2014)",Comedy,"In the series premiere of CeeLo Green's The Good Life, CeeLo and the Goodie Mob launch a sexy chauffeur service, and CeeLo gets unexpected help while preparing to throw out the opening pitch at a professional baseball game. Eric Benet guest-stars."
30575,Mistress Sabrina's School & Other Tales (2001),Adventure,"Harmony video with three separate vignettes. In the first, a pretty government attempts to infiltrate a training school for kidnappers but falls into the instructor's clutches. In the second, an evil sorceress bites off more than she can chew when she steals a South Pacific idol. In the third, buxom Amber is kidnapped and forced to join a suburban harem."
9769,Calling You Home to Issaquah (2020),Romance,"Jason finds out May, the woman he let go all those years ago, has returned. Now they have a second chance at the future they always dreamed of. Unbeknownst to him, she held a secret when she left. Now that she's back her secret has come home to roost. How will Jason react when he finds out what she's been hiding?"
17014,The U.S. Army All-American Bowl: A Tradition of Strength and Excellence (2012),Reality-Tv,"Traces the origins of the U.S. Army All-American Bowl from its humble beginnings in Dallas, Texas, 11 years ago to its current stature as the premiere high school football all-star event. Includes an examination of the Army's role in football over the decades, as well as just what makes high school football such a central part of the American landscape. The special also features in-depth coverage of this year's crop of All-Americans, including a preview of the 2012 U.S. Army All-American Bowl."
5620,"""Friday Night Games"" (2006)",Game-Show,"A spin-off from _""Big Brother"" (2001/V)_ (qv)'s popular ""Friday Night Live"" segment, Friday Night Games sees teams consisting of three celebrities and one member of the public, who is dubbed the ""celeb-to-be"", compete and put their skills to the test in a series of games and challenges. The champion team of the series wins a A$50,000 donation from Supercheap Auto to the charity of their choice."
13131,Ferien (2007/II),Short,Alphons is on the way to the suicide cliff of his choice when hitch-hiker Marla forces him to stop and insists on him giving her a lift. As she discovers why he wants to kill himself a curious companionship develops and saves both of them from their abyss and paves the way to happiness.
51254,Neon (2015/II),Documentary,"NEON celebrates the beauty, colour and vibrant history of the neon sign from an international perspective as we face a world where it will soon be lost and superceded by L.E.D. signage. Neon is 100 years old and the craft and construction has changed very little, making neon one the greenest forms of light ever produced and an amazing and enduring force of colour and light in the visual landscapes of our lives."
44914,Addicted to Sexting (2015),Documentary,"""ADDICTED TO SEXTING"", a compelling (and sometimes humorous) look at the rise and proliferation of this social phenomenon from several varying perspectives and how the lives of those engaged in it are affected. Throughout the course of the film, we examine nearly every aspect of what has become a national and international pastime. A vast range of opinions give their input about this delicate subject and, as such, discussions with notable figures in the entertainment, political and medical fields (among others) are included. The film touches on the many high profile scandals surrounding public officials and the resulting consequences of their actions. In stark contrast, an honest look at the possibility of sexting as a positive development within the framework of healthy relationships is also presented. Sexting exists and is not likely to disappear anytime soon. ""ADDICTED TO SEXTING"" shows the why, how and what possible purpose it serves."
43685,The Secret of Convict Lake (1951),Western,"Jim Canfield, convicted of a crime he did not commit, escapes a Nevada prison with several hardened criminals. He leads them to the small farming community home of the man who not only framed him, but committed the crime. But Jim's plans for revenge are put on hold when he discovers that the local men have all joined the posse in the convict's pursuit, leaving their women behind. He soon becomes attracted to the beautiful and resourceful Marcia, who turns out to be the fiance of the man who framed him. Can Jim protect the women from his less-civilized comrades, fall under Marcia's humanizing influence and still maintain his murderous resolve?"
51803,Trash Talk (2010),Adult,"Sexy Heather seems to have it all--she's the school's head cheerleader and is dating the hippest frat boy on the campus. However, there's a lot going on under the surface of the school, and Heather joins up with her nerdy best friend on a pirate radio station to blow open the cesspool of cheating and hypocrisy in the school, especially among the administration, which sends its goons after her."
52075,Last Breath (2010/II),Horror,"Tina Johnson and Michael Johnson have a son, Caleb, but they live an unhappy marriage. They are distant to each other and Michael has a love affair with his secretary Sarah. One night, Tina and Michael buy a derelict building that Michael expects to fix to make money. While showing the large space to Tina, they are surprised by a sadistic stranger and are tortured along the night. Who might be the stranger and why is he doing this to the couple?"
18469,The Monday Club (????),Family,"The Monday Club is an inspirational, family friendly story of the deep divide within the African-American community during the 1960s as told through the conflict between a father, a follower of Dr. Martin Luther King, Jr. and his son, an activist in the Black Power movement."
51981,Oil Boss (????),History,"Hellfighter Myron Kinley Saga, Red Adair's mentor, based on the book ""Call Kinley"" by Jessie Kinley, exclusive interviews of Myron's son, Karl Kinley, and full access to Kinley family history. A man utterly without fear . . . Myron Kinley stands as unrivaled world-champion fighter of oil fires. -- Reader's Digest"
11578,Lisa Whelchel's Everyday Workout for the Everyday Woman (2013),Sport,"The Facts of Life star and mother of three shares her favorite workouts - safe, sane, effective ways to be healthier, stronger, more energetic, and have a looser waistband no matter your size or shape. Because having fun can make all the difference, Lisa teams up with trainer and friend Janice Clark. Light weights and a mat recommended."
47407,Sluchaen kontzert (1960),Musical,"An impresario comes to Bulgaria from abroad to engage an opera artist. His opera company urgently needs a Mephistopheles for their imminent premiere of ""Faust"". Only basso Nicolai Ghiaurov can help them out of the fix, but he is away, concertizing around the country. The impresario decides to find him. Ghiaurov, however, proves quite elusive and the impresario just misses him wherever he goes. The concert Ghiaurov is giving at the Summer Theatre in seaside resort is the impresario's last chance of engaging him. Meanwhile, trying to catch Ghiaurov up, the guest has an opportunity to listen to other Bulgarian performers. Pleasantly surprised by the talent of our opera artists, the impresario is willing to engage just about everybody..."
2015,Wolf Tracer's Dinosaur Island (2004),Animation,Deep sea fishing expedition comes to a halt when a freak storm appears and passengers are washed ashore. Youngsters help the survivors avoid endless hazards and the evil island leader while they try to escape being devoured by the rampaging ravenous carnivores of Dinosaur Island.
13967,The Haunting of Camp Slaughter (2004),Short,"During the shooting of the horror movie Camp Slaughter, the cast and crew found out that the location was haunted. Many strange things happened and some of them was caught on camera. This is the story of a haunted movie set, presented and hosted by a Criswell-inspired host."
46810,Cluck Yegger in Escape from the Planet of the Poultroid (2015),Horror,"(Video Game)As space-faring free ranger, Cluck Yegger, you've been shot out of the sky by none other than your old arch nemesis, Colonel Zanderz. Your disabled ship is running on limited auxiliary solar power that charges during the daytime."
49251,"""The Felled"" (????)",Sci-Fi,"A young man named Michael has no idea of his heavenly royalty nor does he understand his affinity to attract the Biblical supernatural. Michael, along with two companions, one of which is a fallen angel, seek answers to the enigma that is Michael's life and destiny. These three might be the key to all of Salvation - or Millennia of darkness."
25862,Survival of a Woman (2007),Drama,"This is a story of a divorced woman, who is living with her daughter in a small apartment. She is living her life on her own. She is working in an office to earn for herself and her daughter. One young man, who lives in the same building was in love with her and wants to marry her. But she doesn't like him. He daily creates troubles for her and later comes to help her with that. She discussed this with her office colleague, she advised her to complain in society welfare community. She told her the secretary of that community is also interested in her. The same day her boss in office also showed interest in her. She was very depressed with this situation and was thinking for a solution. Same night the young man in her neighbor came to her house and holds her hand and asks her to marry her. She was not expecting this from him. This all made her depressed. Next day she saw her ex husband begging on roads. She called his second wife and inquires about him. She told him that she has found someone more rich and handsome then him that's she has taken all his property and kicked him out. She decided to bring him back home. She introduced him as her brother. He was a drug addict too. After seeing his daughter he decided to live again for his daughter and went under treatment to leave drugs. When people saw him around her as brother, they all limit themselves in her matters. She was happy with this. Her office colleague advised her that it looks odd that you are living with a man without any relationship. You should marry someone but she refused as she was happy alone. The young man in her neighbors, called his sister from abroad to take proposal for her. His sister was her college friend and she knows all stories about her and her ex-husband. She told her brother everything about her and her so called brother. He tells this truth to all union members of that housing society and they called her for meeting. In that meeting they asked her to leave the house as her acts are not accepted able for their society. She asked them to arranged house for her where she is acceptable easily without any man. She embraced them and so did her husband. They all became quiet and have nothing to say in answer to her questions."
52736,Nazhoen Chharo (2008),Crime,"Urban youth issues such as drugs, petty crime and violence are ingredients for a story in which Bhutan find its own way to deal with the side effects of modernity. Bhutan's fast developments over the past years also has its dark sides; youth unemployment has exploded together with criminality and drugs abuse. However a young man, played by actor Tshering Gyeltshen, has a plan to rescue detainees from a criminal career, but the plan turns into a nightmare..."
12141,Leonardo (1987),Music,"Following an introduction, by Edward Cowie, and an explanation of his fascination with Leonardo da Vinci there is a complete performance of Cowie's orchestral work, ''Leonardo''. This takes the form of a musical and pictorial journey through the work of the great Leonardo."
50558,"""La Supercafetera"" (2010)",Sci-Fi,"Two geeks and a blonde get a special coffee machine which gives superpowers for a limited time. They start using their powers for their own good, when a trip to the future reveals which is to come, and they have to take their powers seriously."
39789,The Christmas Switch (2014),Family,"Eddie Bennett is a fast-talking, Three-card Monte dealer who has hustled the streets of New York City for the last 15 years. Eddie along with his friends, has mastered every scam there is until one day he is visited by a mysterious man who offers him an unusual proposition. He will give Eddie the chance to achieve eternal redemption for all the bad deeds he has done. The price is simple: he must transfer his spirit to a different body for three weeks. This way an aging, ailing Santa Claus, Sam, can use Eddie's body to play St. Nick for one more Christmas. Eddie thinks the man is nuts and beside, redemption is a sucker's bet. If he were to go through with the deal, he'd want a million dollars in cash. That's the pay off. The mysterious man snaps his fingers and a million dollars appears before a dumbfounded Eddie. ""The choice is yours,"" says the man. ""You can have the money or the pearly gates. That's up to you. All we want is your body for a few weeks."" For one second Eddie hesitates and actually considers eternal redemption. He then comes to his senses. He takes the money of course. The terms are agreed upon and, at the stroke of midnight, Eddie finds himself in Sam's body and Sam in Eddie's. The next three weeks finds Sam bringing good cheer to kids throughout the city. Eddie, stuck in Sam's body, counts his time in bed just waiting to get paid. However, when Eddie follows Sam one day to a department store, he sees Sam, in his body, giving presents and cheer to the children. Eddie could never imagine himself doing that. But there he is, in the flesh, bringing joy to these children and their parents. Eddie starts to question the meaning of Christmas. Maybe it's not what he thinks it is: ""Get what you can, when you can."" Maybe there is something to this redemption thing. Moreover, Eddie meets Sam's daughter, Susan, and finds himself falling in love. Complications arise when Eddie's friends find out about the million dollar pay off and want part of the action. Eddie must overcome his greedy friends and allow Sam his final night on Christmas Eve. Through Eddie's wit and guile, he gives Sam that last night and finally finds the real meaning of Christmas the gambler's way."
20631,"""Bryan Inc."" (2016)",Reality-Tv,"After three spirited home builds as husband and wife, Bryan and Sarah Baeumler take on an entirely different relationship: boss and employee. In Bryan Inc., Sarah joins Bryan's busy construction company as a Project Manager and together they will buy, renovate and sell two luxury homes."
17645,Sabotage (1936),Thriller,"Mr. Verloc is part of a gang of foreign saboteurs operating out of London. He manages a small cinema with his wife and her teenage brother as a cover, but they know nothing of his secret. Scotland Yard assign an undercover detective to work at the shop next to the cinema in order to observe the gang. Mr. Verloc, a cinema owner, is part of a gang of saboteurs in London. He lives with his wife, Sylvya, and her young brother, Stevie. They know nothing about Verloc's secret. Scotland Yard assigns an undercover detective, Ted, to work in a shop near the cinema and investigate the man. The head of the gang assigns Verloc to put a bomb in the metro. The man sends Stevie there with the ""bag""."
14644,Everybody Does It (1949),Comedy,"Leonard Borland loves his monied wife, but with his wrecking business looking shaky he treasures her all the more. So when she decides to try again to become an opera singer he indulges her. While organising a concert for her he meets glamorous Cecil Carver. She in turn discovers Leonard has a splendid voice, and encourages him to use it for reasons very much her own."
10502,Full Exposure: The Sex Tapes Scandal (1989),Thriller,A luxury callgirl was killed and the policeman who investigates the case discovers some video tapes with pornographical contents which the victim has recorded obviously in order to blackmail important personalities.
11019,Tied (????),Drama,"In Le Lien, two beings discover brother and sister at the death of their father. They are what remains of his body. They are his lies alive. Of necessity they attract each other, they inevitably love each other and hate each other at the same time. Who was most loved? Who was sucking his real father?"
53564,Rani Hindustani (1995),Crime,"Sweet, attractive and naive Ganga lives in a small village in India, with her mom. She is in love with Shankar, who has gone to the city at the recommendation of Thakur Shamsher Singh, and would like to marry him soon. Her dreams and innocence come to an end when she is lured by Shamsher to his mansion so that she can sleep with Minister Choudhry Devkirai. She manages to get Choudhry drunk and manages to escape to Bombay. Upon arrival, she is molested, and sold at a brothel, but she manages to escape with the help of a cripple named Royce, who assists her in locating Shankar. Shankar is overjoyed to see her, introduces her to his boss, A.K. Chopra, and they begin plans for their marriage. Chopra takes an unusual interest in Shankar's career and not only promotes him, but gives him an apartment in a posh locality. Before the marriage could take place, the police find Ganga disheveled and hysteric laying next to Shankar's lifeless body. She is arrested, charged with murder, and sentenced to a life in prison. She escapes with the help of Royce, and sets about planning her vengeance against Chopra, Shamsher Singh, Police Inspector Rawat, and Choudhry. What caused Shankar's death? Why was Ganga hysterical and disheveled? And why does she want revenge against Shankar's well-wisher, Chopra?"
11682,25 Years of Skinnamarink (2004),Family,"Sharon, Lois & Bram are celebrating 25 years singing together! They're singing and dancing their favorite, most well-known, and well-loved songs on stage - live! In ""25 Years of Skinnamarink"", there are celebrity appearances, congratulations, commentary, and more! Sharon, Lois & Bram perform like they've never performed before on stage with special guests Denny Dougherty, Natalie MacMaster, The Canadian Brass, and more!"
3180,"""ReLive"" (2013)",Mystery,"Shawn Gray has been experiencing dark, twisted visions and does not remember much of his past. He sees a girl reoccurring in his hallucinations who he has not met before. Because of his hallucinations he receives treatment from neurologist Dr. Erin Robyn whom Shawn is unsure if he can trust. As Shawn's visions get darker, his trust in Robyn and the mysterious girl soon lead Shawn to uncover the dark truth behind his own past. Along the way, he is faced with danger and deception. Shawn will have to decipher what is real and what is fantasy."
25432,Make Mine a Million (1959),Comedy,"Sid Gibson is a soap powder salesman who decides what he really needs is TV advertising. The problem is, he's absolutely broke. He calls upon his friend Arthur Ashton, who arranges to sneak a plug for Sid's suds into a live TV spectacular. The public goes bananas for the product but to maintain sales Sid and Arthur must arrange for ever more outrageous plugs on TV shows. The Ascots races, the Edinburgh Military Tattoo - no show is safe."
26866,Venere creola (1961),Comedy,"Two villages are situated on a little island in the Caribbean Sea: Santana and Cienfuegos. Every year there is a challenge between the two villages, a challenge between the best fighting-cocks the two villages can get. This year Cienfuegos's cock is the favourite. It is Melchiorre's cock. So the personage of Santana make a spell and a dog kills Melchiorre's cock. Melchiorre, after running the risk of being lynched, must leave in search of a new cock to win the challenge."
